Country,Company Name,Company ID 1,Company ID 2,Company ID 3,Company ID 4,Country,ZIP Code
ES,VANILLA POWER TECHNOLOGY SA SERVICE,A95663852,,,ESA95663852,Albacete,2006
ES,VANILLA POWER TECHNOLOGY SA PANELES,A95663852,,,ESA95663852,Sesma,31293
ES,VANILLA POWER TECHNOLOGY SA ENERGY,A95663852,,,ESA95663852,Sarriguren,31621
ES,VANILLA POWER TECHNOLOGY SA INDUSTRY,A95663852,,,ESA95663852,Zamudio,48170
ES,VANILLA POWER TECHNOLOGY SA MARINE,A95663852,,,ESA95663852,Zamudio,48170
ES,VANILLA POWER TECHNOLOGY SA ELECTRONICS,A95663852,,,ESA95663852,Zamudio,48170
ES,VANILLA POWER TECHNOLOGY SA TECHNOLOGY,A95663852,,,ESA95663852,Zamudio,48170
ES,VANILLA POWER TECHNOLOGY SA POWER PLANTS,A95663852,,,ESA95663852,Miñano Mayor,1510
CL,Vanilla SpA,76198448-9,,,,Las Condes,7550000
AU,Vanilla Australia Pty Ltd,51166870168,,,,North Wollongong,2500
PA,Vanilla Panamá SA,2619428-1-836502,,,,Distrito de Panamá,
RO,Vanilla Service S.R.L.,,,,RO34091550,"Bucuresti, Sector 2",20335
ES,QUANTUM RENEWABLE ENERGY SL,B71219323,,,,Orkoien,31160
MX,"Tai Durango Dos, S. A. P. I. de C. ",TDD1204178Y8,,,,CIUDAD DE MÉXICO,11550
MX,"Tai Durango Cuatro, S.A.P.I. de C.V ",TDC120417R14,,,,CIUDAD DE MÉXICO,11550
PH,Vanilla Philippines Inc.,8996479000,,,,Makati City,1200
ES,BIZKAIA BUSINESS CAPITAL SL,B95810552,,,,Zamudio,48170
ES,BIZKAIA BUSINESS CAPITAL 1 SL EN CONSTITUCIÓN,B95813069,,,,Zamudio,48170
ES,BIZKAIA BUSINESS CAPITAL 2 SL EN CONSTITUCIÓN,B95826236,,,,Zamudio,48170
UY,Vanilla Uruguay S.A.,21 762707 0016,,,,Montevideo,11200
